Date,Open,High,Low,Close,Adj Close,Volume,Open SMA(10),High SMA(10),Low SMA(10),Close SMA(10),Adj Close SMA(10),Volume SMA(10)
2020-07-06,1805,1858,1792.099976,1851.800049,1845.862061,21697962,null,null,null,null,null,null
2020-07-07,1860,1864.349976,1806.300049,1823.449951,1817.602905,16239990,null,null,null,null,null,null
2020-07-08,1824.050049,1834.949951,1790,1798,1792.234497,12093186,null,null,null,null,null,null
2020-07-09,1809,1835,1786.25,1824.25,1818.400391,16807336,null,null,null,null,null,null
2020-07-10,1828.5,1884.599976,1824.25,1878.050049,1872.027832,20195218,null,null,null,null,null,null
2020-07-13,1903.349976,1947.699951,1900,1935,1928.795166,32124262,null,null,null,null,null,null
2020-07-14,1934,1941.699951,1887.300049,1917,1910.852905,31073305,null,null,null,null,null,null
2020-07-15,1937.949951,1978.800049,1798,1844,1838.087036,64457578,null,null,null,null,null,null
2020-07-16,1847,1869,1812.449951,1843.400024,1837.489014,28133826,null,null,null,null,null,null
2020-07-17,1845,1920,1838,1911.699951,1905.569824,22948894,1859.384998,1893.409985,1823.465002,1862.665002,1856.692163,26577155.700000
2020-07-20,1917.800049,1932,1899.650024,1919.900024,1913.743652,16887635,1870.665003,1900.809985,1834.220007,1869.475000,1863.480322,26096123.000000
2020-07-21,1939,1977,1936.5,1971.550049,1965.228027,19463004,1878.565003,1912.074988,1847.240002,1884.285010,1878.242834,26418424.400000
2020-07-22,1983,2010,1960.699951,2004,1997.573975,27584518,1894.459998,1929.579993,1864.309997,1904.885010,1898.776782,27967557.600000
2020-07-23,2003.949951,2079.699951,1991.349976,2057.800049,2051.201416,26921017,1913.954993,1954.049988,1884.819995,1928.240015,1922.056885,28978925.700000
2020-07-24,2058,2163,2057.800049,2146.149902,2139.268066,55655668,1936.904993,1981.889990,1908.175000,1955.050000,1948.780908,32524970.700000
2020-07-27,2178.800049,2198.800049,2127.899902,2156.199951,2149.285889,37060665,1964.450000,2007.000000,1930.964990,1977.169995,1970.829980,33018611.000000
2020-07-28,2156.199951,2194,2150.649902,2177.699951,2170.716797,25435297,1986.669995,2032.230005,1957.299975,2003.239990,1996.816370,32454810.200000
2020-07-29,2177.899902,2182.800049,2070.449951,2096.649902,2089.926758,33534147,2010.664990,2052.630005,1984.544971,2028.504980,2022.000342,29362467.100000
2020-07-30,2099,2139.699951,2072,2108.850098,2102.087891,33623699,2035.864990,2079.700000,2010.499975,2055.049988,2048.460230,29911454.400000
2020-07-31,2114.5,2129,2052.800049,2067.100098,2060.47168,34593133,2062.814990,2100.600000,2031.979980,2070.590002,2063.950415,31075878.300000
2020-08-03,2051.300049,2057,2003.099976,2009,2002.557861,21559142,2076.164990,2113.100000,2042.324976,2079.500000,2072.831836,31543029.000000
2020-08-04,2020.599976,2167,2000.25,2150.600098,2143.703857,42476932,2084.324988,2132.100000,2048.699976,2097.405005,2090.679419,33844421.800000
2020-08-05,2169,2196,2118.300049,2126.449951,2119.631348,34404810,2102.924988,2150.700000,2064.459985,2109.650000,2102.885156,34526451.000000
2020-08-06,2157,2167.699951,2107.800049,2134.100098,2127.256836,22762545,2118.229993,2159.500000,2076.104993,2117.280005,2110.490698,34110603.800000
2020-08-07,2129.800049,2157.800049,2120.199951,2146.449951,2139.567139,15222303,2125.409998,2158.980005,2082.344983,2117.310010,2110.520606,30067267.300000
2020-08-10,2159.100098,2165,2108.100098,2119.850098,2113.05249,12441573,2123.440003,2155.600000,2080.365002,2113.675024,2106.897266,27605358.100000
2020-08-11,2134.800049,2160,2100.350098,2133.800049,2126.957764,21611256,2121.300012,2152.200000,2075.335022,2109.285034,2102.521362,27222954.000000
2020-08-12,2121,2145,2106.800049,2127.600098,2120.777832,13967116,2115.610022,2148.419995,2078.970032,2112.380054,2105.606470,25266250.900000
2020-08-13,2128,2138.899902,2110,2122.050049,2115.245361,11459190,2118.510022,2148.339990,2082.770032,2113.700049,2106.922217,23049800.000000
2020-08-14,2122.550049,2157,2089.25,2113.800049,2107.021973,15333164,2119.315027,2151.139990,2086.415027,2118.370044,2111.577246,21123803.100000
2020-08-17,2105,2105,2070.100098,2091.350098,2084.644043,14296834,2124.685022,2155.939990,2093.115039,2126.605054,2119.785864,20397572.300000
2020-08-18,2085,2134.300049,2082.350098,2118.550049,2111.756592,14097746,2131.125025,2152.669995,2101.325049,2123.400049,2116.591138,17559653.700000
2020-08-19,2141,2154,2121.350098,2131.550049,2124.715088,15731396,2128.325025,2148.469995,2101.630054,2123.910059,2117.099512,15692312.300000
2020-08-20,2120,2123.899902,2088,2097.050049,2090.325684,10401212,2124.625025,2144.089990,2099.650049,2120.205054,2113.406397,14456179.000000
2020-08-21,2118,2122,2077,2081.850098,2075.174316,11667129,2123.445020,2140.509985,2095.330054,2113.745069,2106.967114,14100661.600000
2020-08-24,2091.399902,2104.5,2070.5,2095.75,2089.029785,15098991,2116.675000,2134.459985,2091.570044,2111.335059,2104.564844,14366403.400000
2020-08-25,2106,2111.300049,2078,2082.100098,2075.423584,8947563,2113.794995,2129.589990,2089.335034,2106.165064,2099.411426,13100034.100000
2020-08-26,2085,2147.949951,2047,2137.300049,2130.446533,27630190,2110.194995,2129.884985,2083.355029,2107.135059,2100.378296,14466341.500000
